Part Number,active_months,total_net_qty,total_sold_qty,total_return_qty,total_transactions,avg_monthly_net_qty,median_monthly_net_qty,max_monthly_net_qty,total_sale_value,total_profit,description,fr
MBN007603 014106,37,4233.0,4355.0,122.0,4441,114.4054054054054,108.0,227.0,60836.402895499996,46988.3682955,"SEAL RING,VLRUB",MB
LU481371111,37,43261.0,44058.0,797.0,3027,1169.2162162162163,1204.0,1970.0,1693937.2691189,1326165.7691189,MOBIL SUPER 3000XE 5W30 0.5,LU
MBN000000 00200864,37,3177.0,3229.0,52.0,2984,85.86486486486487,67.0,208.0,131736.5881205,49404.6224205,BATTERY,MB
MBA270 180 01 09,37,29359.0,29429.0,70.0,2802,793.4864864864865,592.0,4210.0,1243970.96544427,225411.06684427,#TS OIL FILTER ELEMENT,MB
MBA002 990 20 17,37,3059.0,3110.0,51.0,2771,82.67567567567568,67.0,312.0,158674.45391450002,79726.1302145,SCREW PLUG,MB
MBA166 830 02 18,37,4804.0,4854.0,50.0,2613,129.83783783783784,109.0,317.0,364124.4871422,136785.3515422,#DUST FILTER,MB
ZZSUND2,37,2513.0,2554.0,41.0,2595,67.91891891891892,72.0,135.0,638503.555681,638503.555681,Sundries/Consumables,ZZ
MBA205 835 01 47,37,3254.0,3293.0,39.0,2224,87.94594594594595,85.0,288.0,956352.3842049,363866.8112049,FINE PARTICLE FILTER,MB
CJ68191349AC,37,3035.0,3060.0,25.0,1778,82.02702702702703,72.0,160.0,85756.00702232,22540.05922232,OIL FILTER,CJ
MBA264 094 01 00,37,2210.0,2236.0,26.0,1583,59.729729729729726,57.0,128.0,377545.72579893,159240.49869893,AIR FILTER INSERT,MB
MBA254 184 06 00,37,2347.0,2366.0,19.0,1525,63.432432432432435,50.0,201.0,183840.849472,91525.109872,TS ENG. OIL FILTER INSERT,MB
MBA169 540 16 17,37,6356.0,6385.0,29.0,1459,171.78378378378378,156.0,675.0,225945.146807,50118.881907,BRAKE WEAR SENSOR,MB
MBA003 989 98 20/10,37,2929.0,2981.0,52.0,1445,79.16216216216216,73.0,160.0,275860.74050087,61841.32750087,028027/SEALANT,MB
MBA220 421 01 71,37,2747.0,2815.0,68.0,1438,74.24324324324324,68.0,141.0,60400.230805,40620.525305,SCREW,MB
LU481421111,37,21151.0,21578.0,427.0,1316,571.6486486486486,378.0,1394.0,740857.7137634,559336.8008634,MobilSuperSYNFMB5W40 drum208L,LU
MBA254 094 02 00,37,1246.0,1262.0,16.0,1244,33.67567567567568,28.0,88.0,183273.871756,80791.884156,AIR FILTER INSERT,MB
MBA654 094 00 04,37,1946.0,1968.0,22.0,1242,52.5945945945946,42.0,217.0,377456.39015868,146278.94895868,AIR FILTER INSERT,MB
MBA256 184 00 00,37,4650.0,4676.0,26.0,1231,125.67567567567568,116.0,346.0,266376.67507718,67285.59917718,TS OIL FILTER ELEMENT,MB
