Month,Part Number,net_qty,sold_qty,return_qty,transaction_count,sale_value,retail_value,cost_value,profit,description,fr,branch
2023-05,CJ04318060GD,3.0,3.0,0.0,3,107.25,125.1,65.25,42.0,LUBRICANTAXLE,CJ,31
2023-06,CJ04318060GD,3.0,3.0,0.0,3,123.4,148.0,56.7217,66.6783,LUBRICANTAXLE,CJ,31
2023-07,CJ04318060GD,32.0,32.0,0.0,8,894.11,1522.0,572.2895,321.82050000000004,LUBRICANTAXLE,CJ,31
2023-08,CJ04318060GD,6.0,6.0,0.0,5,211.7,253.1,106.24739999999998,105.45259999999999,LUBRICANTAXLE,CJ,31
2023-09,CJ04318060GD,3.0,3.0,0.0,3,106.49,115.69,52.397999999999996,54.092,LUBRICANTAXLE,CJ,31
2023-10,CJ04318060GD,9.0,9.0,0.0,8,349.0,414.0,158.3732,190.6268,LUBRICANTAXLE,CJ,31
2023-11,CJ04318060GD,9.0,9.0,0.0,5,295.2,412.0,158.0574,137.14260000000002,LUBRICANTAXLE,CJ,31
2023-12,CJ04318060GD,8.0,8.0,0.0,8,305.15,391.0,139.9082,165.2418,LUBRICANTAXLE,CJ,31
2024-01,CJ04318060GD,7.0,7.0,0.0,7,288.0,333.0,120.0,168.0,LUBRICANTAXLE,CJ,31
2024-02,CJ04318060GD,9.0,9.0,0.0,6,339.0,477.0,155.0,183.0,LUBRICANTAXLE,CJ,31
2024-03,CJ04318060GD,7.0,7.0,0.0,7,347.0,371.0,119.0,228.0,LUBRICANTAXLE,CJ,31
2024-04,CJ04318060GD,5.0,5.0,0.0,5,230.0,265.0,85.0,145.0,LUBRICANTAXLE,CJ,31
2024-05,CJ04318060GD,10.0,10.0,0.0,7,399.0,610.0,205.0,193.0,LUBRICANTAXLE,CJ,31
2024-06,CJ04318060GD,8.0,8.0,0.0,6,311.0,488.0,167.0,144.0,LUBRICANTAXLE,CJ,31
2024-07,CJ04318060GD,5.0,5.0,0.0,5,239.0,309.0,105.0,135.0,LUBRICANTAXLE,CJ,31
2024-08,CJ04318060GD,9.0,9.0,0.0,9,415.0,468.0,198.0,217.0,LUBRICANTAXLE,CJ,31
2024-09,CJ04318060GD,5.0,5.0,0.0,3,174.0,260.0,110.0,64.0,LUBRICANTAXLE,CJ,31
2024-10,CJ04318060GD,5.0,5.0,0.0,4,187.0,260.0,110.0,77.0,LUBRICANTAXLE,CJ,31
2024-11,CJ04318060GD,4.0,4.0,0.0,4,203.0,203.0,88.0,115.0,LUBRICANTAXLE,CJ,31
2024-12,CJ04318060GD,3.0,3.0,0.0,3,112.0,138.0,66.0,46.0,LUBRICANTAXLE,CJ,31
2025-01,CJ04318060GD,7.0,7.0,0.0,5,252.0,338.0,155.0,96.0,LUBRICANTAXLE,CJ,31
2025-02,CJ04318060GD,1.0,1.0,0.0,1,38.0,47.0,22.0,15.0,LUBRICANTAXLE,CJ,31
2025-03,CJ04318060GD,5.0,5.0,0.0,5,198.0,236.0,110.0,88.0,LUBRICANTAXLE,CJ,31
2025-04,CJ04318060GD,1.0,1.0,0.0,1,47.0,47.0,22.0,25.0,LUBRICANTAXLE,CJ,31
2025-05,CJ04318060GD,5.0,5.0,0.0,5,210.0,265.0,105.0,105.0,LUBRICANTAXLE,CJ,31
2025-06,CJ04318060GD,4.0,4.0,0.0,4,188.0,210.0,84.0,104.0,LUBRICANTAXLE,CJ,31
2025-07,CJ04318060GD,8.0,8.0,0.0,8,359.0,416.0,168.0,191.0,LUBRICANTAXLE,CJ,31
2025-08,CJ04318060GD,7.0,7.0,0.0,7,304.0,364.0,147.0,157.0,LUBRICANTAXLE,CJ,31
2025-09,CJ04318060GD,6.0,6.0,0.0,6,264.0,312.0,126.0,140.0,LUBRICANTAXLE,CJ,31
2025-10,CJ04318060GD,3.0,3.0,0.0,3,127.0,156.0,63.0,66.0,LUBRICANTAXLE,CJ,31
2025-11,CJ04318060GD,4.0,4.0,0.0,4,157.0,209.0,83.0,74.0,LUBRICANTAXLE,CJ,31
2025-12,CJ04318060GD,2.0,3.0,1.0,4,63.0,106.0,40.0,23.0,LUBRICANTAXLE,CJ,31
2026-01,CJ04318060GD,6.0,6.0,0.0,6,282.0,320.0,120.0,162.0,LUBRICANTAXLE,CJ,31
2023-01,CJ04318067GB,4.0,4.0,0.0,4,39.0,42.75,32.5424,6.4576,CLEANER  WINDSHIELD WASHE,CJ,31
2023-02,CJ04318067GB,9.0,9.0,0.0,9,83.25,83.25,73.2204,10.0296,CLEANER  WINDSHIELD WASHE,CJ,31
2023-03,CJ04318067GB,6.0,6.0,0.0,6,55.5,55.5,48.8136,6.686400000000001,CLEANER  WINDSHIELD WASHE,CJ,31
2023-04,CJ04318067GB,8.0,9.0,1.0,10,74.0,74.0,65.0848,8.9152,CLEANER  WINDSHIELD WASHE,CJ,31
2023-05,CJ04318067GB,12.0,12.0,0.0,12,115.58,120.08,97.6272,17.9528,CLEANER  WINDSHIELD WASHE,CJ,31
2023-06,CJ04318067GB,5.0,5.0,0.0,5,51.8,51.8,40.678,11.122,CLEANER  WINDSHIELD WASHE,CJ,31
2023-07,CJ04318067GB,8.0,8.0,0.0,8,87.17,95.03,61.348,25.822,CLEANER  WINDSHIELD WASHE,CJ,31
2023-08,CJ04318067GB,8.0,8.0,0.0,8,85.2,85.2,55.12,30.08,CLEANER  WINDSHIELD WASHE,CJ,31
