Month,Part Number,net_qty,sold_qty,return_qty,transaction_count,sale_value,retail_value,cost_value,profit,description,fr,branch
2023-03,BSB0092S40430,1.0,1.0,0.0,1,337.169,481.67,203.85,133.319,"Battery, DIN S4 12V 62AH 540A",BS,31
2023-10,BSB0092S40430,1.0,1.0,0.0,1,409.7,481.67,209.74,199.96,"Battery, DIN S4 12V 62AH 540A",BS,31
2023-10,BSB0092S40510,1.0,1.0,0.0,1,301.99,464.6,189.56,112.43,Battery JIS S4 12V 60AH 480A 55D23R,BS,31
2023-08,BSB0092S40580,2.0,2.0,0.0,1,780.0,1498.4,565.36,214.64,"Battery JISS4 12V 95AH 720A,11",BS,31
2023-05,BSB0092S5A040,1.0,1.0,0.0,1,626.4,1044.0,387.37,239.03,"Battery, AGM S5A 12V 70AH 760A",BS,31
2023-06,BSB0092S5A040,1.0,1.0,0.0,1,783.0,1044.0,394.73,388.27,"Battery, AGM S5A 12V 70AH 760A",BS,31
2023-09,BSB0092S5A040,1.0,1.0,0.0,1,626.4,1044.0,430.79,195.61,"Battery, AGM S5A 12V 70AH 760A",BS,31
2023-12,BSB0092S5A040,1.0,1.0,0.0,1,678.6,1044.0,442.24,236.36,"Battery, AGM S5A 12V 70AH 760A",BS,31
2024-02,BSB0092S5A040,1.0,1.0,0.0,1,679.0,1044.0,446.0,233.0,"Battery, AGM S5A 12V 70AH 760A",BS,31
2024-03,BSB0092S5A040,1.0,1.0,0.0,1,679.0,1044.0,429.0,249.0,"Battery, AGM S5A 12V 70AH 760A",BS,31
2024-05,BSB0092S5A040,1.0,1.0,0.0,1,679.0,1044.0,422.0,256.0,"Battery, AGM S5A 12V 70AH 760A",BS,31
2025-02,BSB0092S5A040,1.0,1.0,0.0,1,679.0,1044.0,409.0,269.0,"Battery, AGM S5A 12V 70AH 760A",BS,31
2025-07,BSB0092S5A040,2.0,2.0,0.0,2,1326.0,2088.0,838.0,488.0,"Battery, AGM S5A 12V 70AH 760A",BS,31
2023-08,BSB0092S5A060,1.0,1.0,0.0,1,837.284,1196.12,460.16,377.124,"Battery, AGM S5A 12V 80AH 800A",BS,31
2024-04,BSB0092S5A060,1.0,1.0,0.0,1,778.0,1196.0,456.0,322.0,"Battery, AGM S5A 12V 80AH 800A",BS,31
2024-05,BSB0092S5A060,1.0,1.0,0.0,1,742.0,1196.0,456.0,285.0,"Battery, AGM S5A 12V 80AH 800A",BS,31
2025-06,BSB0092S5A060,1.0,1.0,0.0,1,682.0,1196.0,440.0,242.0,"Battery, AGM S5A 12V 80AH 800A",BS,31
2025-07,BSB0092S5A060,1.0,1.0,0.0,1,778.0,1196.0,452.0,326.0,"Battery, AGM S5A 12V 80AH 800A",BS,31
2023-07,BSB0332209150,2.0,2.0,0.0,1,16.2200064,24.96,10.16,6.060006399999998,MINI-RELAY,BS,31
2023-08,BSB0986AH0150,1.0,1.0,0.0,1,10.24,10.24,3.71,6.53,Mini-Relay,BS,31
2025-07,BSB0986FA1060,1.0,1.0,0.0,1,277.0,425.0,131.0,146.0,"STARTER BATTERY FA AGM,12V 12AH 200A",BS,31
2025-12,BSB0986FA1060,1.0,1.0,0.0,1,276.0,425.0,131.0,146.0,"STARTER BATTERY FA AGM,12V 12AH 200A",BS,31
2026-01,BSB1986A00859,1.0,1.0,0.0,1,1008.0,2016.0,700.0,308.0,ALTERNATOR,BS,31
2023-09,BSB3397006827,1.0,1.0,0.0,1,27.8135,50.57,18.35,9.4635,"AEROTWIN PLUS SIN 13"" 325 MM",BS,31
2023-09,BSB3397006836,1.0,1.0,0.0,1,36.3,66.66,27.78,8.52,"AEROTWIN PLUS SIN 23"" 575 MM",BS,31
2023-10,BSB3397011432,1.0,1.0,0.0,1,8.01,40.18,8.01,0.0,REAR 12 Hook,BS,31
2023-11,BSB3397011530,2.0,2.0,0.0,1,30.0,27.1,12.7,17.3,WIPER BIADE,BS,31
2023-10,BSB3397015557,2.0,2.0,0.0,1,20.3,58.6,20.3,0.0,"AEROECO SIN 15"" 380 MM",BS,31
2025-04,BSB3397015562,2.0,2.0,0.0,1,54.0,71.0,26.0,28.0,"AEROECO SIN 21"" 530 MM",BS,31
2025-05,BSB3397015562,1.0,1.0,0.0,1,27.0,36.0,13.0,14.0,"AEROECO SIN 21"" 530 MM",BS,31
2025-05,BSB3397015563,1.0,1.0,0.0,1,28.0,36.0,14.0,14.0,"AEROECO SIN 22"" 550 MM",BS,31
2023-08,BSB3397018170,2.0,2.0,0.0,1,128.8,128.8,45.12,83.68,TWIN SIN 28 700 HCV Hook,BS,31
2023-11,BSB3397018170,0.0,2.0,2.0,2,-57.96000000000001,0.0,0.0,-57.96000000000001,TWIN SIN 28 700 HCV Hook,BS,31
2025-02,BSB3397018199,2.0,2.0,0.0,1,225.0,455.0,158.0,67.0,TWIN SIN 40 1000  HCV Hook,BS,31
2023-01,CJ000ATM20,2.0,2.0,0.0,1,30.0,22.0,7.78,22.22,FUSE 20 AMP (E),CJ,31
2025-02,CJ02073355,2.0,2.0,0.0,1,54.0,72.0,27.0,27.0,STEM WHEEL VALVE,CJ,31
2025-04,CJ02073355,0.0,2.0,2.0,2,0.0,0.0,0.0,0.0,STEM WHEEL VALVE,CJ,31
2024-06,CJ02946079,2.0,2.0,0.0,1,34.0,78.0,29.0,5.0,GROMMET,CJ,31
2026-01,CJ02946079,3.0,3.0,0.0,1,50.0,108.0,40.0,10.0,GROMMET,CJ,31
2023-11,CJ03747361,1.0,1.0,0.0,1,91.0,209.0,77.49,13.51,"SWITCH, NEUT. (9)",CJ,31
2023-10,CJ03821558,1.0,1.0,0.0,1,53.1,49.0,22.32,30.78,RING,CJ,31
2023-01,CJ04105409AC,1.0,1.0,0.0,1,20.8,32.0,16.63,4.17,FILTER ENGINE OIL,CJ,31
2023-02,CJ04105409AC,6.0,6.0,0.0,1,132.48,192.0,99.78,32.7,FILTER ENGINE OIL,CJ,31
2023-03,CJ04105409AC,14.0,14.0,0.0,5,287.4,448.0,232.82,54.580000000000005,FILTER ENGINE OIL,CJ,31
2023-06,CJ04105409AC,1.0,1.0,0.0,1,28.0,32.0,16.63,11.37,FILTER ENGINE OIL,CJ,31
2023-07,CJ04105409AE,12.0,12.0,0.0,1,324.0,504.0,268.464,55.536,OIL FILTER ENGINE OIL(JK),CJ,31
2023-09,CJ04105409AE,1.0,1.0,0.0,1,24.05,37.0,20.2537,3.7963,OIL FILTER ENGINE OIL(JK),CJ,31
2023-10,CJ04105409AE,5.0,5.0,0.0,1,125.0,185.0,100.507,24.493,OIL FILTER ENGINE OIL(JK),CJ,31
