Part Number,Month Date,Month,net_qty,sold_qty,return_qty,transaction_count,sale_value,retail_value,cost_value,profit,branch,description,fr,year,month_number,quarter,month_sin,month_cos,lag_1,lag_2,lag_3,lag_6,lag_12,lag_13,sold_qty_lag_1,return_qty_lag_1,transaction_count_lag_1,rolling_mean_3,rolling_mean_6,rolling_mean_12,rolling_median_3,rolling_median_6,rolling_std_3,rolling_std_6,rolling_min_6,rolling_max_6,diff_1,diff_3,pct_change_1,return_ratio_lag_1,sales_months_last_6,sales_months_last_12,months_since_last_sale,zero_demand_streak,data_split,part_train_avg_qty,part_train_median_qty,part_train_std_qty,part_train_total_qty,part_train_max_qty,part_train_active_months,part_train_avg_transactions
CJ04318060GD,2024-02-01,2024-02,9.0,9.0,0.0,6.0,339.0,477.0,155.0,183.0,31.0,LUBRICANTAXLE,CJ,2024,2,1,0.8660254037844386,0.5000000000000001,7.0,8.0,9.0,6.0,0.0,0.0,7.0,0.0,7.0,8.0,7.0,6.666666666666667,8.0,7.5,0.9999999999999998,2.280350850198276,3.0,9.0,-1.0,-2.0,-0.1111111111111111,0.0,6.0,9.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-03-01,2024-03,7.0,7.0,0.0,7.0,347.0,371.0,119.0,228.0,31.0,LUBRICANTAXLE,CJ,2024,3,1,1.0,6.123233995736766e-17,9.0,7.0,8.0,3.0,0.0,0.0,9.0,0.0,6.0,8.0,7.5,7.416666666666667,8.0,8.5,0.9999999999999998,2.3452078799117144,3.0,9.0,2.0,1.0,0.25,0.0,6.0,10.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-04-01,2024-04,5.0,5.0,0.0,5.0,230.0,265.0,85.0,145.0,31.0,LUBRICANTAXLE,CJ,2024,4,2,0.8660254037844387,-0.4999999999999998,7.0,9.0,7.0,9.0,0.0,0.0,7.0,0.0,7.0,7.666666666666667,8.166666666666666,8.0,7.0,8.5,1.1547005383792515,0.9831920802501729,7.0,9.0,-2.0,0.0,-0.2,0.0,6.0,11.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-05-01,2024-05,10.0,10.0,0.0,7.0,399.0,610.0,205.0,193.0,31.0,LUBRICANTAXLE,CJ,2024,5,2,0.49999999999999994,-0.8660254037844387,5.0,7.0,9.0,9.0,3.0,0.0,5.0,0.0,5.0,7.0,7.5,8.416666666666666,7.0,7.5,1.9999999999999998,1.5165750888103096,5.0,9.0,-2.0,-4.0,-0.25,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-06-01,2024-06,8.0,8.0,0.0,6.0,311.0,488.0,167.0,144.0,31.0,LUBRICANTAXLE,CJ,2024,6,2,1.2246467991473532e-16,-1.0,10.0,5.0,7.0,8.0,3.0,3.0,10.0,0.0,7.0,7.333333333333333,7.666666666666667,9.0,7.0,7.5,2.5166114784235836,1.7511900715418256,5.0,10.0,5.0,3.0,0.8333333333333334,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-07-01,2024-07,5.0,5.0,0.0,5.0,239.0,309.0,105.0,135.0,31.0,LUBRICANTAXLE,CJ,2024,7,3,-0.4999999999999997,-0.8660254037844388,8.0,10.0,5.0,7.0,32.0,3.0,8.0,0.0,6.0,7.666666666666667,7.666666666666667,9.416666666666666,8.0,7.5,2.5166114784235836,1.7511900715418256,5.0,10.0,-2.0,3.0,-0.18181818181818182,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-08-01,2024-08,9.0,9.0,0.0,9.0,415.0,468.0,198.0,217.0,31.0,LUBRICANTAXLE,CJ,2024,8,3,-0.8660254037844385,-0.5000000000000004,5.0,8.0,10.0,9.0,6.0,32.0,5.0,0.0,5.0,7.666666666666667,7.333333333333333,7.166666666666667,8.0,7.5,2.5166114784235836,2.065591117977289,5.0,10.0,-3.0,-5.0,-0.3333333333333333,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-09-01,2024-09,5.0,5.0,0.0,3.0,174.0,260.0,110.0,64.0,31.0,LUBRICANTAXLE,CJ,2024,9,3,-1.0,-1.8369701987210297e-16,9.0,5.0,8.0,7.0,3.0,6.0,9.0,0.0,9.0,7.333333333333333,7.333333333333333,7.416666666666667,8.0,7.5,2.081665999466133,2.065591117977289,5.0,10.0,4.0,1.0,0.6666666666666666,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-10-01,2024-10,5.0,5.0,0.0,4.0,187.0,260.0,110.0,77.0,31.0,LUBRICANTAXLE,CJ,2024,10,4,-0.8660254037844386,0.5000000000000001,5.0,9.0,5.0,5.0,9.0,3.0,5.0,0.0,3.0,6.333333333333333,7.0,7.583333333333333,5.0,6.5,2.3094010767585034,2.280350850198276,5.0,10.0,-4.0,0.0,-0.4,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
CJ04318060GD,2024-11-01,2024-11,4.0,4.0,0.0,4.0,203.0,203.0,88.0,115.0,31.0,LUBRICANTAXLE,CJ,2024,11,4,-0.5000000000000004,0.8660254037844384,5.0,5.0,9.0,10.0,9.0,9.0,5.0,0.0,4.0,6.333333333333333,7.0,7.25,5.0,6.5,2.3094010767585034,2.280350850198276,5.0,10.0,0.0,-4.0,0.0,0.0,6.0,12.0,0.0,0.0,train,5.827586206896552,5.0,5.910456626771388,169.0,32.0,25,4.344827586206897
